lecture_name,professor_name,satisfaction,study_amount,difficulty,quality,achieve,text,recom,grade
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,"김재영 교수님은 정말 천사이십니다.. 강의력이 정말 좋으신 것은 두말 할 것도 없고 영어도 매우 유창하셔서 처음 배우는 회계학 원리를 정말 재밌게 배울 수 있었습니다. 중간고사는 족보가 있어 평균이 높았지만, 기말고사는 족보가 없고 난이도가 높아서 평균이 매우 낮았습니다. 하지만 교수님이 주신 ppt와 교재의 연습 문제를 풀어보시면 시험 대비가 충분히 가능하다고 생각합니다! 학점도 매우 잘 주시는 편입니다. 저는 중간 97이고 기말이 평균보다 14점 위였는데 에이쁠이 나왔습니다. 회원은 꼭 김재영 교수님 들으세요:)",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,4,4,4,여러모로 좋았던 강의이나 필기 부분이 미흡했던 것 같습니다 그래도 영어 발음 좋으시니 들어보세요,1,기대 이상
회계학원리(영강),김재영 교수님 ,5,3,4,5,5,"김재영 교수님을 사랑입니다. 그저 진짜 학점도 정말 잘 주시고 이메일 답변도 상세히 잘 해주십니다.
영강임에도 불구하고 영어로 설명하신 뒤 한국말로도 설명해 주십니다.
정말정말 꼭 들으세요 교수님 그리고 너무 귀여우세요....그냥 사랑.....정말...
시험은 조금 어려우실 수 있지만 자기가 한 만큼 나옵니다!",0,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,3,5,5,영강이라서 걱정을 많이 했는데 교수님께서 계속 반복해서 설명해주시고 어려운 내용은 한국어도 섞어서 설명해주셔서 잘 따라갈 수 있었어요. 교수님 너무 좋으십니다!! 수강신청 할 수 있다면 무조건 이 교수님 회원 들으세욥!!!,1,보통
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,"교수님 강의력 최고ㅠㅜㅠㅜ학습량이 좀 많고 수시 과제도 꽤 있는 편이지만, 강의력이 너무 좋으셔서 따라가기 어렵지 않음.",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,3,5,5,"강사분이시만 정말 잘, 친절하게 가르쳐주셨습니다. 시험도 학생들의 수준에 맞춰 쉽게 해주셨고, 질문에도 항상 친절하게 대답해 주셨습니다. 학점도 잘 주시는 것 같습니다!",0,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,"교수님 넘 좋아요! 설명도 깔끔하게 잘 해주시고 이해될 때까지 반복해주십니다.
다만 수업시간에 자꾸 호명해서 시키세요..
학점도 잘 주세요",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,4,5,4,"개인적으로 회계가 너무 어렵게 느껴져서 힘들었지만, 교수님의 강의력 덕분에 끝까지 따라갈 수 있었습니다ㅠㅠ 교수님 너무 친절하시고 최고예요! 출석을 매번 체크하셨는지는 모르겠지만, 수업 중간중간에 랜덤으로 이름을 부르셔서 질문을 하시는 경우가 있었습니다. 그리고 제가 느끼기엔 시험 난이도도 꽤 높았던 것 같아요.. 하지만 끝까지 포기하지 않으면 학점은 잘 주십니다!",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,"교수님은 엄청 좋으세요!
다만 학습량이 좀 많습니다. 그래도 열심히 하면 좋은 성적 받을 수 있을것 같아요",0,기대 이상
회계학원리(영강),김재영 교수님 ,5,5,3,5,5,"회계를 입문하면서 개념설명부터 차근차근 설명이 좋았던 강의입니다. 시험은 공부를 제대로 한다면 제대로 맞을 정도이나, 계산을 요하는 문제가 많아 좀 연습이 필요할듯합니다. 온라인 수업임에도 좋은 수업이었습니다",1,보통
회계학원리(영강),김재영 교수님 ,4,5,5,4,4,교수님 강의력이 정말 좋으세요 이해가 잘 됩니다! 최대한 학생들 배려해주려 하시는 게 느껴졌어요,0,기대 이상
회계학원리(영강),김재영 교수님 ,4,5,4,5,4,회계는 역시 김재영 교수님..! 영어를 되게 잘하시고 그래서인지 따라 가기 어려우실 수 있는데 그만큼 강의력은 정말 최고신 것 같아요...! 학점도 기대이상으로 주신 것 같아 정말 괜찮았습니다!,0,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,"*For foreign students
I do not recommend you to attend this course because the professor shifts frequently from English to Korean and Korean to English.

교수님께서 적절히 진도 조절 해주셨지만 대부분의 학생들이 어려워했던 것이 기말 시험 평균으로 드러났던 강의. 고득점을 위해서는 교수님이 내주시는 것만 하지 말고 교재 문제도 좀 풀어보면 도움될 듯.",1,보통
회계학원리(영강),김재영 교수님 ,4,3,3,4,3,"김재영 교수님은 최대한 구체적으로 설명해주시려고 하는 면이 좋았어요
이메일을 너무 많이 보내지 않은 이상 학생들 답변에 열의를 다하고 답해주시는 것 같아요
열심히 했지만 성적이 개인적으로 아쉽네요",0,기대 이하
회계학원리(영강),김재영 교수님 ,4,4,4,4,4,이번 학기에서 제일 시간을 많이 투자한 과목입니다 교과서에 있는 문제 전부 다 풀고 ppt도 열심히 봤지만 에이쁠은 못 받았습니다 그만큼 다른 학우분들도 열심히 하시는 것 같습니다 중간고사 미디언은 91점일 정도입니다 그날 그날 강의 안 놓치고 잘 듣고 복습하는 게 중요합니다 교수님께서 한국말도 쓰시면서 설명해주시고 질문하면 대부분은 답해줍니다,0,보통
회계학원리(영강),김재영 교수님 ,5,4,3,5,5,비전공자여도 들을 만 합니다. 영어도 잘 하셔서 영어를 엄청 잘하지는 않는 학생이라도 듣고 내용을 이해하실 수 있습니다. 회계학에 대한 베이스가 전혀 없었는데도 듣고 나서 회계학에 대한 이해가 생기게 되었습니다.,1,기대 이상
회계학원리(영강),김재영 교수님 ,5,3,3,5,5,교수님께서 수강생들의 편의를 최대한 봐주려고 노력하신 수업이었습니다. 수업 도중은 물론 수업 시간 이외에도 수강생들과의 소통이 잘 이루어졌고 수업 내용과 전달력도 좋았습니다. 제가 들은 영강 중에서 가장 듣기 편한 수업이었던 것 같습니다. 과제로는 단원이 끝날 때 교재 문제 풀이를 해서 제출하면 됐었는데 큰 부담 없이 할 수 있는 과제입니다. 시험은 다소 어렵게 느껴졌는데 어려운 건 다른 수강생도 마찬가지여서 그런지 점수에 비해 성적은 잘 나옵니다. 좋은 강의입니다. 추천해요!,1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,"영강이긴 하지만, 한국어랑 섞어서 설명해주시기 때문에 영어로 인한 어려움은 없습니다. 또한 영어 발음도 아주 좋으셔서, 수업 듣기에 아주 편안했습니다. 다만 강의는 어려운 편입니다. 그래도 교수님이 학생들 배려도 많이 해주시고, 학점도 후하게 주시는 편이니까 회원 교수님 고민하는 분께는 강추드립니다.",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,"이번 학기 중에서 제일 재미있게 들었던 수업입니다. 교수님이 영어를 잘하셔서 영강이었지만 부담이 좀 적었습니다. 강의력도 훌륭하시다고 생각합니다.

출석은 확인하신다고 하는데 직접적으로 이름을 부르거나 하지는 않으셔서 제대로 확인되는지는 잘 모르겠습니다. 캠은 켜지 않습니다. 가끔 학생을 지목해서 질문하시기는 하는데 어려운 수준은 절대 아니고 마이크 켜고 대답하거나 채팅으로 합니다.

연습 문제를 풀어서 제출하는 수시과제와 퀴즈, 중간고사와 기말고사가 있습니다. 주로 계산 문제이고, 가끔씩은 개념어를 묻기도 했습니다. 특히 기출과 비슷한 유형의 문제들이 많았습니다. 들어가기 전에 풀어보면 좋을 것 같습니다!",1,기대 이상
회계학원리(영강),김재영 교수님 ,4,3,4,4,3,뒤로갈수록 어렵지만 전체적으로 무난한 강의입니다. 영강이지만 중간에 한국어로 한번더 설명해주시니 영어를 못하더라도 너무 걱정 안하셔도 될것같습니다. 학점도 잘 주십니다.,0,기대 이상
회계학원리(영강),김재영 교수님 ,5,3,3,5,5,"김재영 교수님 좋으세요
시험도 어렵고 강의도 빠르지만 결국에는 점수 잘주심
이메일 질문 대답도 잘해주세요
강의 내용도 좋고 추천합니다.",1,기대 이상
회계학원리(영강),김재영 교수님 ,4,3,3,5,3,나만 시험 말아먹은 듯. 영어 수업인데 한국말로 자주 다시 설명해주시고 진도도 친구 얘기 들어보면 많은 편이 아닌듯 하네요.,0,보통
회계학원리(영강),김재영 교수님 ,2,3,5,3,3,"이번 학기 수업의 경우, 교수님께서 내용에 대한 충분한 이해보다는 정해신 시간 내 가능한 최대한의 진도를 나가는데 더 초점을 맞추신 느낌이었습니다.",0,보통
회계학원리(영강),김재영 교수님 ,4,5,4,4,4,"교수님께서 영어를 굉장히 유창하게 구사하십니다. 다만 말이 조금 빠르셔서 회계에 대한 기초적인 지식이 부족할 경우에는 조금 어렵다고 느껴지실 수도 있습니다. 중간은 대면, 기말은 비대면으로 진행되었습니다. 학점은 솔직히 잘 안 주시는 것 같습니다. 교수님께서 수시로 과제를 내주시는데, 시험 문제와 연관이 있으니 시험 공부한다고 생각하시고 풀면 됩니다.",1,기대 이하
회계학원리(영강),김재영 교수님 ,4,4,3,5,4,"회계학에 대해 아무것도 모르는 상태에서 수강했는데 교수님을 너무 잘 만났다고 생각합니다.


교수님 특유의 국영문혼용체 덕분에 영어로 들을 때 잘 이해가 안되는 부분도 한국어로 다시 들을 수 있어서 좋았습니다. 말이 좀 빠르신데 딕션이 어마무시하셔서 정신 바짝 차리고 익숙해지시면 수업 듣는 데 큰 어려움은 없을 것 같아요.

학기 초에는 서버가 불안정해서 유튜브에 올라온 영상 링크를 정해진 시간 내에 보는 방식으로 수업이 진행됐는데, 한 3주? 정도 지나니까 실강으로 바뀌었습니다. 그러자 수업 하실 때 종종 특정 학생 이름을 지목하셔서 질문을 하셔서, 긴장한 채로 수업을 들었던 기억이 납니다. 대놓고 출석을 부르신 적은 없는데, 교수님 성격상 (워낙 꼼꼼하신 분이라) 수업 끝나고 다 따로 출석체크를 하시지 않았나 싶습니다.

수시 과제가 3번인가 4번인가 있는데, 이거는 정말 제출에 의의가 있는 것 같아요 배점도 별로 안 커서... 대신 과제 열심히 하시면 복습효과가 좀 있어서 나중에 벼락치기로 시험공부 힘들게 안 해도 될 듯 합니다.

학기 초에 질문 이메일 양식에 대해서도 공지를 해 주시는데, 그거 양식 지켜서 보내시면 정말 신속하고 친절하게 답변해주십니다. 중간고사 보고 office hour을 따로 여셔서, 중간 때 시험 성적이 좀 안 좋아서 고민이거나 이메일로 보내기에는 질문 양이 너무 많은 학생들과 1:1 면담을 해주셨습니다. 기말 전에도 한번 더 여셨던 것 같아요.

중간고사는 대면, 기말고사는 코로나 때문에 비대면(오픈북X 락다운브라우저O)으로 진행됐는데 저는 둘 다 시간이 막 넉넉하지는 않았습니다... 공부하실 때 물론 응용 문제 푸는 것도 중요하지만 개념에서도 문제가 나오니까 개념도 꼼꼼히 보셔야 할 것 같아요. 객관식+단답+서술 다 섞어 나옵니다. 평균이랑 중간값 보니까 중간고사보다 기말고사가 좀 더 어렵게 출제되는 경향인 것 같습니다. 그래서 교수님께서도 말씀하셨지만, 중간을 좀 못쳐도 기말 때 만회하면 충분히 좋은 학점 받아가실 수 있을 거에요!


저는 상당히 괜찮게 들은 강의라, 중회도 김재영 교수님 수업 들을 생각입니다.",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,"아 좋았습니다. 미디안 한참 아래였는데 B+나오는 걸 보니 꽉꽉 채워주시는 느낌
근데 시험문제가 좀 어려워요
족보 그대로 나오는 문제 많습니다
족보 사세요",1,기대 이상
회계학원리(영강),김재영 교수님 ,4,4,4,5,4,영강이었고 회계 원리 수업이라 내용이 많고 조금 어려웠지만 교수님께서 질문드리면 반복해서 잘 설명해주셨습니다.,0,기대 이상
회계학원리(영강),김재영 교수님 ,4,4,4,4,4,"일단 교수님 발음이 너무 좋으시고 강의력도 좋으시지만 말이 너무 빨라요,,, 그래서 복습이 꼭 필요하고 시험 문제가 엄청 쉬운 편은 아니예요 근데 학점은 잘 주시니까 자기가 열심히 하면 그만큼 잘 나올 것 같아요",0,보통
회계학원리(영강),김재영 교수님 ,5,3,3,5,5,너무너무너무 만족스러운 강의였어요. 김재영 교수님은 수업을 정말 열정적으로 하셔서 집중이 정말 잘됩니다. 개인적으로 너무 만족스러운 강의였고 회계에 대해 많은 걸 배운 느낌이라 적극 추천하고 싶습니다.,1,기대 이상
회계학원리(영강),김재영 교수님 ,4,4,3,5,4,"교수님께서 열정적이시고 가르치려는 의도가 분명합니다,
세세하게 가르치려고 하여 강의속도가 늦은감이 없지않았습니다 .
시험은 케바케 어렵다는 사람도 있고 쉽다는 사람도 있기에 공부를 어느정도 하느야에 따라 다를것으로 생각됩니다
한학기 의미있는 수업이었습니다!",1,기대 이상
회계학원리(영강),김재영 교수님 ,4,4,3,5,4,"항상 실시간 강의였습니다. 중간고사, 기말고사가 둘 다 있었고 중간은 대면, 기말은 비대면 시험이었습니다. 시험을 웬만큼 보면 학점을 잘 주는 편이세요. 학생 이름 불러서 어떤 문제에 대해 대답해 보라고 하시는데 틀려도 뭐라 하지 않으세요. 그런 식으로 출석체크를 하시는 것 같기도 했습니다. 한 과가 끝나면 과제가 있었는데, 그렇게 양이 많거나 어렵진 않았습니다.",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,3,5,4,"회계의 ㅎ자도 몰랐었는데 교수님 덕분에 즐겁게 공부한 것 같습니다.
우선 영강이지만, 교수님께서 영어를 상당히 유창하게 구사하셔서 듣는데 어려움이 없습니다.
한국어로도 설명을 함께 해주시기 때문에 영어에 자신 없으신 분들도 걱정 없이 들으실 수 있을 것 같아요.
질문 상당히 친절하게 잘 받아주십니다. 학생 한 명 한 명 완벽히 이해시키려고 노력하시는 모습이 보였어요.
중간고사는 대면, 기말고사는 코로나 상황이 악화되어 온라인으로 락다운브라우저와 줌을 병행하여 진행하셨습니다.
중간고사 난이도는 평이했던 반면, 기말고사는 조금 더 어려웠던 것 같아요.
교수님께서 주시는 과제 말고도 교재의 연습문제나, 교재 테스트뱅크 구해서 풀어보시면 도움될 것 같습니다.
수업 내용 잘 이해하고, 개인시간에 문제들로 연습 충분히 하면 좋은 성적 얻으실 수 있을거라고 생각합니다!",1,보통
회계학원리(영강),김재영 교수님 ,5,4,3,5,5,"갓갓갓재영입니다.
회계에 대해 완전 무지한 상태로 영강을 수강하게 되서 걱정이 많았는데 교수님의 네이티브 수준의 영어 구사력 + 뛰어난 강의력으로 오히려 회계에 대해 큰 관심과 흥미를 갖고 학기를 마치게 되었어요.

중간고사는 대면, 기말고사는 코로나로 인해 비대면 (실시간)으로 진행했구요.
과제는 중간중간 교과서의 문제가 나오는데 사진촬영해서 올려주시고 양도 한 번에 5문제 정도라 부담 없어요.

책은 안쓰시며 피피티 수업 전에 바로 올려주셔서 교과서 구매하시지 말고 답지 pdf 만 구하시길 추천드려요.

회원 들으실 분은 꼭 김재영 교수님꺼 수강하시길 바라요!",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,3,3,5,5,"그냥 꼭 들으세요.... 학생들 질문도 잘 받아주시고 헷갈려하는 부분 자세하게 반복하여 설명 해주십니다. 과제는 내기만 하면 되는 것 같아요. 배점이 그리 크지도 않습니다. 평균이나 최고점이 높은 편이긴 하지만, 교수님이 학점을 굉장히 후하게 주십니다. 기말 못봤다고 생각했는데 에이쁠 나왔어요... 대부분 에이 아니면 에이쁠인듯 해요",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,3,2,5,5,"회계 재수강이었습니다

그래서 쉬웠습니다 중급회계도 듣고 와서

어 ppt로 수업하고 수업 굉장히 쉽게 하십니다

영어를 완전 잘 하는 건 아니지만 이해하는데 아무 문제 없고
한국어로도 말해주십니다 좋았습니다

시험은 중간고사는 매우 쉬웠고 기말고사는 어려운 편이었습니다.

기말고사 준비 많이 하는 것이 학점 따기 좋을 것입니다

수업 안 듣고 교과서로만 공부할 수도 있습니다.

기말은 족보가 없습니다.",1,보통
회계학원리(영강),김재영 교수님 ,3,4,4,3,3,교수님이 열정이 넘치십니다. 근데 질문을 계속 바로 받으셔서 수업이 자주 끊겨요. 강의력은 좋으십니다.,0,보통
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,"강의력이 매우 좋으십니다 퀸재영,,, 회계학 과목 특성상, 다른 과목에 비해 학습량이 많고 난이도가 높다고 느껴지긴 하나, 교수님의 엄청난 강의력과 질문 답변 속도로 커버된다고 생각합니다. 시험 전날 이메일 질문에도, 세심하게 답변해주십니다. 영강이라고 걱정하지 마세요, 교수님께서 중간중간에 한국말 섞어가며 매우 잘 설명해주십니다. 중간고사는 쉬웠는데, 기말고사가 어렵고 시간이 부족했습니다. 그렇지만 A+ 커버리지가 넓기 때문에, 일단 좌절하지 말고 열심히 하면 괜찮을 것이라고 생각합니다. 참고로 중간고사는 100점 만점에 미디언 92점이었고, 기말고사는 90점 만점에 평균 57점이었습니다.",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,3,5,5,"저는 중간 미디언 이하/기말 평균 이상/ 과제 모두 완료 하여 총점 B+ 받았습니다.

비전공자에 한번도 회계학을 접해보지 못했지만 김재영 교수님 덕분에 회계학은 무조건 어렵다는 편견을 버리게 될 만큼 정말 자세하고 친절하게 설명해 주십니다.
따로 질문 보내시면 세세하게 답변해주시니 질문 하는 걸 어려워하지 마시기 바랍니다.

과제에서 나오는 문제들을 익숙할 정도로 풀면 시험을 잘 볼 수 있습니다.
저는 과제 문제들 외에 다른 연습문제들만 열심히 풀었는데 중간고사 때 시험 형식이 너무 생소해서 공부한 것에 비해 성적이 낮게 나왔고, 기말은 다른 기존 강평들 참고하며 과제로 나온 문제들 계속 익혀서인지 잘 본 것 같습니다.

학점은 정말 후하시고, 영어 정말 잘 하시니 잡으시면 무조건 들으세요.",1,기대 이상
회계학원리(영강),김재영 교수님 ,5,5,4,5,5,"타과생 회계노베여서 강의 못알아들을까봐 정말 걱정했는데 엄청 잘 가르쳐주십니다! 영어도 엄청 잘하셔서 알아듣는데엔 전혀 문제 없었어요 약간 빠르긴 했지만 ㅜㅜ ,,,회계 완전 기초부터 알려주시고 끝까지 잘 따라간다면 성취감 큰 과목입니다. 점수도 공부열심히 하면 잘 주시는 것 같아요. 중간은 오프, 기말은 온라인으로 봤고, 퀴즈도 보긴했는데 점수에 크게 안들어간다고 하셨습니다. 출석은 보시는걸로 알고있습니다!",1,기대 이상
회계학원리(영강),김재영 교수님 ,4,4,3,5,5,교수님이 영어도 매우 잘하시고 설명도 매우 잘하십니다. 과제도 시험 몇 주 전에는 내주시기만 하시고 제출은 안해도 된다고 하시는 등 학생을 많이 배려해주시는 교수님입니다.,1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,3,5,5,"학기 내내 실시간 비대면으로 수업을 진행하셨습니다. 시험은 중간고사, 기말고사 두 번 진행하셨고, 중간고사는 학교에 직접 가서 오프라인으로, 기말고사는 거리두기 단계 상향 조치에 따라 온라인으로 진행되었습니다. 매 과가 끝날 때 교재의 연습문제를 풀어오라는 과제를 주시는데 문항수도 많지 않고, 교수님이 문제를 올려주시기 때문에 교재가 없었음에도 과제를 하는데 어려움은 없었습니다.
이와 별개로 제가 여태껏 들었던 모든 교수님들 중에 강의력이 좋으신 분으로 말씀드릴 수 있을 정도로 강의력이 너무 좋습니다. 아침 1교시 영어 실시간 수업이었음에도 불구하고 기본 지식 하나 없던 타과생이 이렇게 많은 것을 이해하고, 배웠다는 사실이 굉장히 뿌듯했습니다. 만약 회계학 원리 수업을 꼭 들으셔야 한다면 꼭 김재영 교수님 수업을 들어보세요!!!!! 절대 후회 안 하실거에요!!!!!",1,보통
회계학원리(영강),김재영 교수님 ,5,4,4,5,3,김재영 교수님은 회계학 원리의 빛이십니다..... 세상에서 가장 친절하시면서 이해되기 쉽게 설명해주십니다...갓재영,1,보통
회계학원리(영강),김재영 교수님 ,5,4,4,5,5,회원은 무조건 김재영 교수님!! 입문용으로 이에요 영강인데 교수님이 영어를 너무 잘하셔서 강의를 물 흐르듯이 들을 수 있었습니다. 말하는 속도가 조금 빠르시지만 발음도 명확하시고 최대한 쉽게 설명해주셔서 이해에 무리도 없었습니다. 공부한 것 보다 잘나오면 잘나왔지 절대 못나오지 않는 강의입니다. 정말 한만큼 잘 나와요! 캠은 안 켜시는데 중간중간 학생 이름을 불러 질문을 하셔서 처음에는 그게 되게 무서웠는데 점점 익숙해지니 오히려 1교시 수업 때 잠도 잘 깨고 좋았던 것 같습니다. 완전 추천드려요!,1,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,2,5,4,"총평 : 킹재영교수님 !=! 빛밖에 안 보여요!

학점 : A+ (중간 -2점, 기말 -3점 기준)

강의 : 교수님 영어 발음 유튜브 자동 자막으로 다 나올 정도. 강의력 좋으시고 학생들이 질문하는 것도 친절히 설명해주심. 실시간 줌수업.

과제 : 챕터 끝나고 연습문제 5-6개 정도 골라서 풀이 올리기.

시험 : 공정성과 분별력을 모두 고려하고, 학생 입장 생각해주심.
>중간고사 : 오프라인 클로즈드북. 선택형 문제, 단답형 문제, 꼬리문제 a~s 정도까지 달린 큰 문제 하나.
공부 열심히 했으면 시간은 적당했고 풀 수 있다.
>기말고사 : 온라인 클로즈드북, 치팅시트 1장. 블랙보드에서 한 30문제 정도 본 것 같고 함정만 조심하면 크게 어렵지는 않다.

출석 : 1교시라 6회 정도 결석에 지각도 자주 했다... 4번 이상 결석시 F라고 하셨으나, 매번 줌 참석자를 체크하시지는 않는듯.",1,보통
회계학원리(영강),김재영 교수님 ,4,3,4,5,4,"교수님께서 영어를 매우 유창하게 하십니다. 물론 저는 영어를 잘하지 못하지만, 영어에 능통하신 분이라면 아마 김재영 교수님 수업이 잘 맞으실 것 같습니다. 시험은 쉽지는 않은 것 같습니다. 교수님께서 열정적으로 수업하시고 코로나 특수 때문인지는 모르겠지만 이번 학기는 학점을 후하게 주신 것 같습니다.",0,기대 이상
회계학원리(영강),김재영 교수님 ,3,3,3,3,3,"교수님이 영어를 매우잘함
cpa준비중이라 내용 다 알아서 날로먹긴했는데, 영강이라 단어가 어려워서 이해하느라 좀 걸린듯.
과제 좀 있는데 교재 pdf찾아서 그거로 배껴내면됨",0,보통
회계학원리(영강),김재영 교수님 ,5,4,3,5,4,"회계학을 잘 모르더라도 무리없이 듣기 좋습니다. 특히 교수님이 영어가 매우 유창하시지만, 다시 한글로 풀어서 설명해주시기에 영어에 한 걱정을 할 필요는 없습니다. 중간중간에 과제 한 3-4번 그리고 중간, 기말로 평가가 이루어졌는데, 학점을 최대한 잘 주시려고 하시는 것 같습니다! 회원 누구 들을지 고민될 때는 그냥 김재영 교수님 수업을 들으세요!",0,기대 이상
회계학원리(영강),김재영 교수님 ,5,4,3,5,5,"교수님이 학생들을 많이 배려해주시는 게 많이 느껴지는 강의였다. 질문에 친절하게 자세히 대답해주시고 학생들이 이해를 했는지 못했는지 확인하시면서 진도를 나가시기 때문에, 회계에 흥미가 없던 나도 포기하지 않고 끝까지 수업을 열심히 들었던 것 같다. 실시간 강의이고, 가끔 이름을 부르시기 때문에 수업에 집중을 하고 있는 것이 좋다. 솔직히 열심히 수업 듣고 피피티 여러 번 보면 학점 충분히 잘 받을 수 있던 것 같다.",1,보통
